Date, Price
Fri Dec 30 20:25:44 2022,0.3215
Fri Dec 30 20:26:46 2022,0.3217
Fri Dec 30 20:27:48 2022,0.3218
Fri Dec 30 20:28:49 2022,0.3218
Fri Dec 30 20:29:51 2022,0.3218
Fri Dec 30 20:30:52 2022,0.3218
Fri Dec 30 20:31:53 2022,0.3218
Fri Dec 30 20:32:54 2022,0.3218
Fri Dec 30 20:33:54 2022,0.3217
Fri Dec 30 20:34:54 2022,0.3217
Fri Dec 30 20:35:55 2022,0.3217
Fri Dec 30 20:36:55 2022,0.3218
Fri Dec 30 20:37:56 2022,0.3218
Fri Dec 30 20:38:56 2022,0.3218
Fri Dec 30 20:39:57 2022,0.3219
Fri Dec 30 20:40:57 2022,0.3219
Fri Dec 30 20:41:58 2022,0.3216
Fri Dec 30 20:42:58 2022,0.3216
Fri Dec 30 20:43:58 2022,0.3217
Fri Dec 30 20:44:59 2022,0.3217
Fri Dec 30 20:45:59 2022,0.3218
Fri Dec 30 20:47:00 2022,0.3218
Fri Dec 30 20:48:00 2022,0.3212
Fri Dec 30 20:49:01 2022,0.3212
Fri Dec 30 20:50:01 2022,0.3212
Fri Dec 30 20:51:01 2022,0.3213
Fri Dec 30 20:52:02 2022,0.3212
Fri Dec 30 20:53:02 2022,0.3213
Fri Dec 30 20:54:03 2022,0.3213
Fri Dec 30 20:55:03 2022,0.3213
Fri Dec 30 20:56:04 2022,0.3214
Fri Dec 30 20:57:04 2022,0.3215
Fri Dec 30 20:58:04 2022,0.3215
Fri Dec 30 20:59:05 2022,0.3215
Fri Dec 30 21:00:06 2022,0.322
Fri Dec 30 21:01:06 2022,0.3227
Fri Dec 30 21:02:07 2022,0.3227
Fri Dec 30 21:03:07 2022,0.3225
Fri Dec 30 21:04:12 2022,0.3222
Fri Dec 30 21:05:13 2022,0.3224
Fri Dec 30 21:06:14 2022,0.3223
Fri Dec 30 21:07:14 2022,0.3223
Fri Dec 30 21:08:15 2022,0.3222
Fri Dec 30 21:09:15 2022,0.3222
Fri Dec 30 21:10:16 2022,0.3225
Fri Dec 30 21:11:16 2022,0.3224
Fri Dec 30 21:12:17 2022,0.3223
Fri Dec 30 21:13:17 2022,0.3224
Fri Dec 30 21:14:18 2022,0.3224
Fri Dec 30 21:15:18 2022,0.3225
Fri Dec 30 21:16:18 2022,0.3224
Fri Dec 30 21:17:19 2022,0.3224
Fri Dec 30 21:18:19 2022,0.3223
Fri Dec 30 21:19:20 2022,0.3219
Fri Dec 30 21:20:20 2022,0.322
Fri Dec 30 21:21:21 2022,0.322
Fri Dec 30 21:22:21 2022,0.3219
Fri Dec 30 21:23:22 2022,0.3219
Fri Dec 30 21:24:22 2022,0.3217
Fri Dec 30 21:25:23 2022,0.3217
Fri Dec 30 21:26:23 2022,0.3217
Fri Dec 30 21:27:23 2022,0.3218
Fri Dec 30 21:28:24 2022,0.3219
Fri Dec 30 21:29:24 2022,0.3217
Fri Dec 30 21:30:25 2022,0.3216
Fri Dec 30 21:31:25 2022,0.3216
Fri Dec 30 21:32:25 2022,0.3216
Fri Dec 30 21:33:26 2022,0.3213
Fri Dec 30 21:34:26 2022,0.3213
Fri Dec 30 21:35:27 2022,0.3213
Fri Dec 30 21:36:27 2022,0.3216
Fri Dec 30 21:37:27 2022,0.3216
Fri Dec 30 21:38:28 2022,0.3216
Fri Dec 30 21:39:28 2022,0.3216
Fri Dec 30 21:40:29 2022,0.3216
Fri Dec 30 21:41:29 2022,0.3216
Fri Dec 30 21:42:29 2022,0.3216
Fri Dec 30 21:43:30 2022,0.3216
Fri Dec 30 21:44:30 2022,0.3217
Fri Dec 30 21:45:32 2022,0.3216
Fri Dec 30 21:46:33 2022,0.3216
Fri Dec 30 21:47:33 2022,0.3216
Fri Dec 30 21:48:34 2022,0.3216
Fri Dec 30 21:49:34 2022,0.3217
Fri Dec 30 21:50:34 2022,0.3219
Fri Dec 30 21:51:35 2022,0.3218
Fri Dec 30 21:52:35 2022,0.3219
Fri Dec 30 21:53:36 2022,0.3219
Fri Dec 30 21:54:36 2022,0.3218
Fri Dec 30 21:55:37 2022,0.3218
Fri Dec 30 21:56:38 2022,0.3216
