Date, Price
Fri Dec 30 20:25:44 2022,10.16
Fri Dec 30 20:26:46 2022,10.16
Fri Dec 30 20:27:48 2022,10.14
Fri Dec 30 20:28:49 2022,10.14
Fri Dec 30 20:29:50 2022,10.16
Fri Dec 30 20:30:52 2022,10.15
Fri Dec 30 20:31:53 2022,10.14
Fri Dec 30 20:32:54 2022,10.16
Fri Dec 30 20:33:54 2022,10.15
Fri Dec 30 20:34:55 2022,10.16
Fri Dec 30 20:35:55 2022,10.14
Fri Dec 30 20:36:55 2022,10.16
Fri Dec 30 20:37:56 2022,10.16
Fri Dec 30 20:38:56 2022,10.17
Fri Dec 30 20:39:57 2022,10.17
Fri Dec 30 20:40:57 2022,10.15
Fri Dec 30 20:41:58 2022,10.16
Fri Dec 30 20:42:58 2022,10.16
Fri Dec 30 20:43:59 2022,10.16
Fri Dec 30 20:44:59 2022,10.15
Fri Dec 30 20:46:00 2022,10.16
Fri Dec 30 20:47:01 2022,10.16
Fri Dec 30 20:48:01 2022,10.17
Fri Dec 30 20:49:01 2022,10.16
Fri Dec 30 20:50:02 2022,10.16
Fri Dec 30 20:51:03 2022,10.17
Fri Dec 30 20:52:03 2022,10.17
Fri Dec 30 20:53:03 2022,10.16
Fri Dec 30 20:54:04 2022,10.18
Fri Dec 30 20:55:04 2022,10.19
Fri Dec 30 20:56:05 2022,10.18
Fri Dec 30 20:57:05 2022,10.17
Fri Dec 30 20:58:06 2022,10.17
Fri Dec 30 20:59:07 2022,10.16
Fri Dec 30 21:00:08 2022,10.17
Fri Dec 30 21:01:09 2022,10.18
Fri Dec 30 21:02:10 2022,10.21
Fri Dec 30 21:03:11 2022,10.2
Fri Dec 30 21:04:12 2022,10.21
Fri Dec 30 21:05:13 2022,10.2
Fri Dec 30 21:06:14 2022,10.21
Fri Dec 30 21:07:14 2022,10.21
Fri Dec 30 21:08:15 2022,10.2
Fri Dec 30 21:09:16 2022,10.21
Fri Dec 30 21:10:16 2022,10.21
Fri Dec 30 21:11:17 2022,10.22
Fri Dec 30 21:12:17 2022,10.21
Fri Dec 30 21:13:18 2022,10.21
Fri Dec 30 21:14:18 2022,10.21
Fri Dec 30 21:15:18 2022,10.21
Fri Dec 30 21:16:19 2022,10.2
Fri Dec 30 21:17:19 2022,10.21
Fri Dec 30 21:18:20 2022,10.21
Fri Dec 30 21:19:21 2022,10.21
Fri Dec 30 21:20:21 2022,10.2
Fri Dec 30 21:21:21 2022,10.2
Fri Dec 30 21:22:22 2022,10.22
Fri Dec 30 21:23:23 2022,10.22
Fri Dec 30 21:24:23 2022,10.21
Fri Dec 30 21:25:23 2022,10.21
Fri Dec 30 21:26:24 2022,10.21
Fri Dec 30 21:27:24 2022,10.21
Fri Dec 30 21:28:24 2022,10.2
Fri Dec 30 21:29:25 2022,10.21
Fri Dec 30 21:30:25 2022,10.21
Fri Dec 30 21:31:26 2022,10.21
Fri Dec 30 21:32:26 2022,10.2
Fri Dec 30 21:33:27 2022,10.21
Fri Dec 30 21:34:27 2022,10.2
Fri Dec 30 21:35:27 2022,10.2
Fri Dec 30 21:36:28 2022,10.2
Fri Dec 30 21:37:28 2022,10.19
Fri Dec 30 21:38:29 2022,10.19
Fri Dec 30 21:39:29 2022,10.21
Fri Dec 30 21:40:30 2022,10.21
Fri Dec 30 21:41:31 2022,10.2
Fri Dec 30 21:42:31 2022,10.18
Fri Dec 30 21:43:33 2022,10.19
Fri Dec 30 21:44:34 2022,10.19
Fri Dec 30 21:45:34 2022,10.2
Fri Dec 30 21:46:34 2022,10.19
Fri Dec 30 21:47:35 2022,10.19
Fri Dec 30 21:48:35 2022,10.19
Fri Dec 30 21:49:36 2022,10.19
Fri Dec 30 21:50:36 2022,10.19
Fri Dec 30 21:51:37 2022,10.19
Fri Dec 30 21:52:38 2022,10.19
Fri Dec 30 21:53:38 2022,10.19
Fri Dec 30 21:54:39 2022,10.19
Fri Dec 30 21:55:40 2022,10.19
Fri Dec 30 21:56:40 2022,10.18
Fri Dec 30 21:57:41 2022,10.17
Fri Dec 30 21:58:41 2022,10.15
Fri Dec 30 21:59:42 2022,10.16
Fri Dec 30 22:00:42 2022,10.16
Fri Dec 30 22:01:42 2022,10.15
Fri Dec 30 22:02:43 2022,10.17
Fri Dec 30 22:03:43 2022,10.17
Fri Dec 30 22:04:44 2022,10.16
Fri Dec 30 22:05:44 2022,10.16
Fri Dec 30 22:06:45 2022,10.17
Fri Dec 30 22:07:45 2022,10.17
Fri Dec 30 22:08:46 2022,10.16
Fri Dec 30 22:09:46 2022,10.17
Fri Dec 30 22:10:47 2022,10.17
Fri Dec 30 22:11:47 2022,10.14
Fri Dec 30 22:12:48 2022,10.14
